Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.8965207,-73.8446798,Pharmacy
Wakefield,40.894705176609996,-73.84720052054901,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant
Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
Wakefield,40.894705176609996,-73.84720052054901,Dunkin Donuts,40.890631142128605,-73.84902685192144,Donut Shop
Wakefield,40.894705176609996,-73.84720052054901,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
Wakefield,40.894705176609996,-73.84720052054901,Baychester Avenue Food Truck,40.892293193824266,-73.84323016854879,Food Truck
Co-op City,40.87429419303012,-73.829939108124,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
Co-op City,40.87429419303012,-73.829939108124,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
Co-op City,40.87429419303012,-73.829939108124,Bartow Mall,40.87021912929973,-73.82866144180298,Shopping Mall
Co-op City,40.87429419303012,-73.829939108124,Sleepy's Co-Op City,40.87223414329722,-73.8286072661231,Mattress Store
Co-op City,40.87429419303012,-73.829939108124,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
Co-op City,40.87429419303012,-73.829939108124,Baskin Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop
Co-op City,40.87429419303012,-73.829939108124,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
Co-op City,40.87429419303012,-73.829939108124,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx28 / Bx30 / Bx38 / MTA Bus Bx23/ BxM7/ Q50 at the Dreiser Loop / Co-op City Blvd (Section 1/2),40.875943195045075,-73.82940420195395,Bus Station
Co-op City,40.87429419303012,-73.829939108124,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
Co-op City,40.87429419303012,-73.829939108124,Guang Hui Chinese Restaurant,40.87660292677318,-73.82971005218339,Chinese Restaurant
